WORKOUTID,TITLE,GENRES
605,Prom Night,Pop|Rock
607,Quick Hits,R&B/Soul/Jazz
608,Quick Hits,Country
609,Punk You,Rock
610,Smooth Sailing,Rock
611,Pop Till You Drop,Pop
616,Just Dance,Electronic
617,Dark Forces,Hip Hop
618,Quick Hits,Pop
621,Glutacious,Pop|Electronic|Hip Hop
622,Superfreak,R&B/Soul/Jazz
623,"Break Up, Shape Up",Pop
624,Break Stuff,Electronic|Hip Hop
625,Quick Hits,Hip Hop
626,Y2K Babyyy,Pop|Rock
628,Monster,Rock
632,Quick Hits,Electronic
633,Quick Hits,Electronic
634,Nouveau Disco,Electronic|R&B/Soul/Jazz
635,Pros Only,Rock|Electronic
636,Pool House,Electronic
637,The Drop,Electronic
638,Quick Hits,Pop
639,Quick Hits,Pop
640,Gratitude,R&B/Soul/Jazz
643,Retrofit,Pop|Rock
644,Just Dance,Electronic|Hip Hop
645,Super Monster: Turkey Burn,Pop|R&B/Soul/Jazz
646,Rock The Ages,No genre
648,Hip Hop You Don't Stop,Hip Hop
649,The Drop,Electronic
650,Hip Hop You Don't Stop,Hip Hop
651,Pop Till You Drop,Pop
652,Quick Hits,Electronic
654,Quick Hits,Rock
655,Breakout Role,Rock|R&B/Soul/Jazz
656,"Pump, You Up 90s",Rock
657,A Call To Arms,Pop|Electronic
660,Skinny Jeans and Ripped Seams,Rock
662,Sweat Symphony,Classical/Musical
666,Strut,Rock
667,Retrofit,Pop|Rock
668,Pool House,Electronic
669,Hair Brained,Rock
670,Molten Rock,Rock
671,Mood Booster,Pop|Electronic
672,Quick Hits,R&B/Soul/Jazz
673,Quick Hits,Pop|Rock
674,Quick Hits,Rock
675,Rapattack,Hip Hop
677,Girl Power,Rock
679,Cover Lover,Rock|R&B/Soul/Jazz
680,Shower Songs,Rock
681,Mood Booster,Pop
682,Just Dance,R&B/Soul/Jazz
684,Monster,Pop
685,Just Dance,Electronic
686,Rock The Ages,Rock
687,Quick Hits,Pop
688,Quick Hits,Electronic|R&B/Soul/Jazz
690,Rock Hard,Rock
695,Quick Hits,Hip Hop
697,Retrofit,Pop|Rock
698,Rap-ture,Hip Hop
699,Strut,No genre
700,Freedom Rock,Rock
701,Retrofit,Pop|Rock
702,Rock Boom Baby,Pop|Rock
703,The Drop,Electronic
704,Game Time,Electronic|Hip Hop
705,Quick Hits,Hip Hop
706,Quick Hits,Pop
707,Quick Hits,Electronic
708,Sweat Symphony,Classical/Musical
710,Quick Hits,Pop
711,Quick Hits,Pop|Electronic
712,Quick Hits,Pop|Electronic|Hip Hop
717,Pop Till You Drop,Pop
718,Merry,R&B/Soul/Jazz
719,Quick Hits,Rock
720,Quick Hits,Electronic
721,Quick Hits,Rock
722,Pop Till You Drop,Pop|Hip Hop
723,Punk You,Rock
724,Just Dance,Electronic
725,Monster,Hip Hop
726,This Year: Be You,Pop
728,Smooth Sailing,Rock
730,Sweaty Flannel,Rock
731,Summer,Pop|Electronic
732,Rock The Ages,Rock
733,Quick Hits,Electronic
734,Quick Hits,Pop
735,Fresh Finds,Electronic|R&B/Soul/Jazz
736,Hoedown Throwdown,Country
737,Broken Dreams Team,Pop|Rock
750,Monster,Electronic
751,Mood Booster,Pop
752,Quick Hits,Classical/Musical
753,Quick Hits,Rock
754,Quick Hits,Pop|Rock
755,Jazz It Up,R&B/Soul/Jazz
756,Rock Hard,Rock
757,Hip Hop You Don't Stop,Hip Hop
758,Girl Power,Pop
759,Pop Till You Punk,Rock
760,Strut,Rock
761,A Call To Arms,Rock
767,Quick Hits,Rock
768,Quick Hits,Hip Hop
769,Quick Hits,Rock
770,Nouveau Disco,Electronic|R&B/Soul/Jazz
771,Skinny Jeans and Ripped Seams,Rock
